,,Track Name,Artist,Track ID,Popularity,acousticness,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence
0,3433,"Tied Up (feat. Mr Eazi, RAYE and Jake Gosling)",Major Lazer,1qFSPn37zEeCyRiVpkW9dt,65,0.0385,0.747,166138,0.877,0.00089,9,0.233,-3.782,0,0.0668,107.989,4,0.751
1,3434,Titans (feat. Sia & Labrinth),Major Lazer,1PQaukn6h0XlPfqTfPGuDk,6,0.101,0.723,199169,0.86,0.000177,7,0.143,-4.891,1,0.0451,94.003,4,0.608
2,3435,Trigger,Major Lazer,0Z26mbSHJ1dkUu7g9DDgif,53,0.128,0.57,171987,0.585,0.000105,8,0.111,-7.041,1,0.251,97.285,4,0.378
3,3436,Disco Arranhado - Funk Remix,Malu,3SI736Mng30L5ZTpGEhKEr,63,0.567,0.746,125560,0.716,0,5,0.062,-2.813,1,0.409,129.84,4,0.922
4,3437,11:00 PM,Maluma,7KbF6AdprOXEEHlsq11Z6d,75,0.217,0.777,175733,0.712,0,10,0.091,-4.84,1,0.277,95.692,4,0.68
5,3438,ADMV,Maluma,3eJMSq78dDaFb7VvhNFnq6,68,0.817,0.565,193700,0.39,0,9,0.126,-4.959,1,0.0556,163.781,4,0.708
6,3439,Agua de Jamaica,Maluma,41BzKiCrKpUQHS3TP0jmdr,58,0.123,0.664,176970,0.665,0,10,0.411,-3.616,1,0.0879,173.961,4,0.726
7,3440,Aloha,Maluma,5RAIMjdrCEjpjaR5tBATXU,68,0.532,0.807,241659,0.712,2.37E-05,1,0.163,-5.757,1,0.1,100.004,4,0.792
8,3441,Borro Cassette,Maluma,6DUdDIRgLqCGq1DwkNWQTN,79,0.132,0.73,207307,0.701,0,5,0.151,-5.885,0,0.106,175.95,4,0.785
9,3442,Corazón,Maluma,5cepAtqnEQ6yVG6088zMMu,71,0.328,0.722,184720,0.738,1.47E-05,9,0.198,-6.073,0,0.247,198.075,4,0.748
10,3443,Corazón (feat. Nego do Borel),Maluma,5cepAtqnEQ6yVG6088zMMu,71,0.328,0.722,184720,0.738,1.47E-05,9,0.198,-6.073,0,0.247,198.075,4,0.748
11,3444,"Cuatro Babys (feat. Trap Capos, Noriel, Bryant Myers & Juhn)",Maluma,0JoHqmlqE0W0i9prt6kcHR,75,0.0983,0.772,278107,0.547,4.35E-06,6,0.107,-6.373,0,0.0541,130.099,4,0.0957
12,3445,El Préstamo,Maluma,2XVilv6s9GETnw9PG4T9Mz,63,0.205,0.74,219600,0.74,0,5,0.107,-3.647,0,0.0686,93.95,4,0.717
13,3446,Felices los 4,Maluma,1RouRzlg8OKFeqc6LvdxmB,74,0.213,0.766,230000,0.756,0,5,0.349,-5.861,1,0.132,94.027,4,0.716
14,3447,GPS (feat. French Montana),Maluma,3t6j6WNv2OSn6qm5Vxynub,62,0.188,0.841,216307,0.629,0,4,0.346,-3.033,0,0.114,143.949,4,0.676
15,3448,Hawái,Maluma,1yoMvmasuxZfqHEipJhRbp,78,0.185,0.783,199112,0.727,2.46E-05,6,0.0626,-3.454,0,0.389,180.067,4,0.558
16,3449,Hawái - Remix,Maluma,0GzuHFG4Ql6DoyxFRnIk3F,67,0.105,0.766,200482,0.788,5.81E-06,6,0.142,-3.128,0,0.312,179.984,4,0.609
17,3450,HP,Maluma,1LIqNVhaIgxXUt2eVoIQJ3,71,0.252,0.837,184436,0.791,1.14E-06,4,0.188,-3.157,0,0.0773,91.98,4,0.618
18,3451,Madrid (feat. Myke Towers),Maluma,19OXtYzrJyCrQvTbfukt4H,68,0.239,0.764,198570,0.741,0,9,0.107,-3.617,1,0.101,170.081,4,0.802
19,3452,Mala Mía,Maluma,62o8KoI44JfN7aYxgTnPvh,66,0.31,0.749,183753,0.752,0,6,0.232,-4.883,1,0.345,180.049,4,0.901
20,3453,Marinero,Maluma,6x5LBP3nYXVdIDoomChGr3,60,0.683,0.58,189133,0.491,0,7,0.122,-5.156,1,0.0473,83.81,4,0.843
21,3454,Parce (feat. Justin Quiles),Maluma,4RJz8NfIe09gpKMiRUWKhJ,69,0.422,0.691,248345,0.739,3.95E-06,5,0.11,-3.09,0,0.229,83.897,4,0.884
22,3455,Qué Pena,Maluma,5099x34vBakWpGkHourFxP,60,0.102,0.635,212711,0.661,0,11,0.336,-6.425,0,0.364,126.15,5,0.858
23,3456,Sobrio,Maluma,4HzqWEdAbzcVFDv0pvxV4w,73,0.138,0.762,201181,0.77,0,5,0.15,-2.758,1,0.223,177.998,4,0.631
24,3457,Tú No Amas,Mambo Kingz,5J64qSSq0VZuh0CiI9o9Nq,55,0.442,0.803,273321,0.589,1.15E-06,11,0.634,-5.889,1,0.0954,140.057,4,0.562
25,3458,Deve ser horrível dormir sem mim,Manu Gavassi,6Q9NH5cNBY58nJkp5Jbs9j,60,0.0134,0.698,155053,0.722,1.03E-05,1,0.115,-6.571,1,0.146,126.739,5,0.753
26,3459,Culpables,Manuel Turizo,2zufEOvbBeIzYnRktwYk1W,70,0.94,0.573,233930,0.31,5.65E-06,3,0.198,-11.134,1,0.296,177.601,4,0.764
27,3460,Esclavo de Tus Besos,Manuel Turizo,3g4UyIcQwutiG0TfW32GnX,59,0.113,0.805,219302,0.671,0,5,0.278,-5.316,1,0.111,90.979,4,0.522
28,3461,Esperándote,Manuel Turizo,6DPp7xKJ4WS71HldGA038M,67,0.425,0.697,199813,0.648,0,7,0.191,-7.123,1,0.128,186.125,4,0.313
29,3462,La Nota,Manuel Turizo,7ndTONDDRFGiPnnhOzOXxq,68,0.18,0.736,216107,0.632,0,11,0.349,-4.939,0,0.0648,92.03,4,0.503
