,Unnamed: 0,Track Name,Artist,Track ID,Popularity,acousticness,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence
0,0,"Merry Christmas, Happy Holidays",*NSYNC,4v9WbaxW8HdjqfUiWYWsII,81.0,0.104,0.643,255307.0,0.939,0.0,5.0,0.881,-3.967,1.0,0.0463,104.999,4.0,0.756
1,1,Bande organisée,13 Organisé,2JNJSm3CjesTWLOcJm4Kiz,59.0,0.117,0.901,356347.0,0.939,0.0,6.0,0.0643,-2.762,1.0,0.274,142.948,4.0,0.805
2,2,Extasy,187 Strassenbande,79lc69ZXfL4WmJIzVSDmWT,60.0,0.0289,0.863,174021.0,0.739,0.0256,9.0,0.0931,-5.879,0.0,0.153,129.964,4.0,0.547
3,3,High Life,187 Strassenbande,0Vy7fWzknPBpNTwJkGc7Sm,50.0,0.0426,0.65,241425.0,0.815,0.0,2.0,0.327,-5.192,1.0,0.379,95.464,4.0,0.452
4,4,Millionär,187 Strassenbande,6mw02h3qbWmuq2bJCRjRAe,63.0,0.176,0.72,159212.0,0.789,6.4e-06,1.0,0.138,-5.255,1.0,0.339,93.001,4.0,0.226
5,5,Mit den Jungz,187 Strassenbande,3aDYo34VzVf2i8aJyJk0ca,62.0,0.0634,0.59,233221.0,0.71,0.0,2.0,0.0967,-5.657,1.0,0.342,125.523,5.0,0.271
6,6,Vielen Dank,187 Strassenbande,4xN9cgMVhYyhnugUFZdhcZ,56.0,0.136,0.854,207573.0,0.572,0.0987,8.0,0.108,-5.678,1.0,0.0971,100.027,4.0,0.35
7,7,4:00 AM,2 Chainz,1nX9KhK3Fff27SnrIor2Yb,63.0,0.118,0.796,255560.0,0.5,0.0,1.0,0.155,-7.21,1.0,0.425,75.012,4.0,0.227
8,8,Bigger Than You (feat. Drake & Quavo),2 Chainz,5S1IUPueD0xE0vj4zU3nSf,54.0,0.247,0.888,225893.0,0.515,0.0,1.0,0.446,-6.246,1.0,0.271,141.009,4.0,0.264
9,9,Good Drank,2 Chainz,39pS70eeDvyCAF3t8NAlVV,57.0,0.274,0.836,222707.0,0.776,0.0,4.0,0.113,-0.804,0.0,0.239,130.033,4.0,0.37
10,10,It's A Vibe,2 Chainz,6H0AwSQ20mo62jGlPGB8S6,68.0,0.0312,0.822,210200.0,0.502,0.000887,7.0,0.114,-7.38,1.0,0.148,73.003,4.0,0.525
11,11,Momma I Hit A Lick (feat. Kendrick Lamar),2 Chainz,7jKUnzzOGhAlPjr7LkIUlE,48.0,0.202,0.796,173760.0,0.467,3.32e-05,11.0,0.206,-6.293,1.0,0.34,179.974,3.0,0.4
12,12,Rule The World (feat. Ariana Grande),2 Chainz,1R6VwZ8TuHRzxZUxe88n4I,52.0,0.158,0.592,245893.0,0.584,2.63e-06,8.0,0.132,-6.232,0.0,0.0893,88.073,4.0,0.447
13,13,Whip (feat. Travis Scott),2 Chainz,6Z4rmc0uujCpl8yXe3yjgI,42.0,0.12,0.793,226600.0,0.399,0.0,7.0,0.124,-7.428,1.0,0.0951,121.949,4.0,0.0379
14,14,1.5,21 Savage,2wOXxtHZgRkkrkEbKLzzqs,61.0,0.000244,0.885,148656.0,0.52,1.16e-06,1.0,0.454,-8.353,1.0,0.359,84.022,4.0,0.306
15,15,4L,21 Savage,1uULQtJ8rbsX5TwjPpPc9Q,61.0,0.000897,0.879,288364.0,0.41,2.09e-05,8.0,0.108,-9.233,1.0,0.551,80.011,4.0,0.0703
16,16,a lot,21 Savage,2t8yVaLvJ0RenpXUIAC52d,82.0,0.0395,0.837,288624.0,0.636,0.00125,1.0,0.342,-7.643,1.0,0.086,145.972,4.0,0.274
17,17,a&t,21 Savage,6ho88pvz4c8WCSFbdVXNia,54.0,0.00169,0.924,211588.0,0.567,0.0,5.0,0.0898,-5.009,1.0,0.0961,146.976,4.0,0.827
18,18,all my friends,21 Savage,4paAidoE8VAemwU4jgCc6l,60.0,0.171,0.713,211785.0,0.62,1.16e-06,0.0,0.118,-4.513,1.0,0.0422,130.09,4.0,0.206
19,19,asmr,21 Savage,2QgfDF0fQ4sskDthP8MG5w,62.0,0.0399,0.84,171714.0,0.543,0.0,1.0,0.117,-7.738,1.0,0.476,170.067,4.0,0.161
20,20,Bad Business,21 Savage,2MnJoNVtf0pw7HUn3I1Tih,51.0,0.000985,0.856,162253.0,0.54,1.55e-05,6.0,0.0854,-9.729,0.0,0.373,158.05,4.0,0.387
21,21,ball w/o you,21 Savage,50a8bKqlwDEqeiEknrzkTO,83.0,0.0467,0.892,195047.0,0.633,0.000189,8.0,0.139,-7.471,1.0,0.0902,137.994,4.0,0.459
22,22,Bank Account,21 Savage,5eqK0tbzUPo2SoeZsov04s,78.0,0.015,0.884,220307.0,0.347,7e-06,8.0,0.0871,-8.227,0.0,0.35,75.016,4.0,0.376
23,23,Brand New Draco,21 Savage,4V9ynsDPwHtdItksqjuRu0,65.0,0.041,0.697,202420.0,0.709,0.000296,11.0,0.0886,-6.642,0.0,0.298,155.023,4.0,0.439
24,24,break da law,21 Savage,5ZSIExfQuVv69tw5Qw3yDl,58.0,0.0493,0.904,177748.0,0.575,0.0,1.0,0.256,-7.823,1.0,0.346,141.037,4.0,0.359
25,25,can't leave without it,21 Savage,0hPLZrnDgtKxrym1BHjDhd,75.0,0.111,0.872,205352.0,0.591,0.0,6.0,0.144,-6.952,0.0,0.359,131.982,4.0,0.696
26,26,Close My Eyes,21 Savage,28mrq1UKIVItTbPqyub52b,49.0,0.164,0.921,292267.0,0.472,0.432,10.0,0.156,-7.88,0.0,0.43,139.997,4.0,0.198
27,27,Darth Vader,21 Savage,7vg47qMIEdLfNdTE3WLf0T,56.0,0.554,0.726,228893.0,0.284,0.0176,7.0,0.121,-10.494,1.0,0.391,151.004,4.0,0.144
28,28,Disrespectful,21 Savage,3oxCefEI6Tc6Z6t20J4IvH,61.0,0.354,0.799,160320.0,0.381,3.11e-06,1.0,0.135,-7.147,1.0,0.465,158.021,4.0,0.0488
29,29,Famous,21 Savage,19HA9J80qZfIkAnp2g8N2S,50.0,0.723,0.779,234280.0,0.597,4.47e-05,9.0,0.0508,-9.652,0.0,0.434,173.986,4.0,0.646
30,30,Ghostface Killers,21 Savage,5u6vkDnOyaf8LsteDAj2ub,72.0,0.333,0.782,268933.0,0.435,1.31e-05,2.0,0.342,-7.033,1.0,0.156,82.996,4.0,0.242
31,31,Glock In My Lap,21 Savage,6pcywuOeGGWeOQzdUyti6k,85.0,0.00574,0.847,193591.0,0.733,1.04e-05,10.0,0.151,-6.439,0.0,0.16,130.029,4.0,0.202
32,32,good day,21 Savage,2LqoYvMudv9xoTqNLFKILj,49.0,0.00359,0.966,242448.0,0.519,0.0,1.0,0.254,-5.682,1.0,0.306,122.195,4.0,0.119
33,33,gun smoke,21 Savage,4f1XXGjZZ9EkFkrbPJek6X,57.0,0.000832,0.809,167410.0,0.461,4.43e-05,10.0,0.143,-5.677,0.0,0.0907,85.992,4.0,0.325
34,34,Immortal,21 Savage,4IO8X9W69dIQe0EC5ALXhq,73.0,0.00813,0.741,254723.0,0.87,0.0,6.0,0.114,-3.494,0.0,0.503,184.194,4.0,0.663
35,35,Intro,21 Savage,5UpXJ75CXod4PCoBQP6MAP,53.0,0.312,0.427,70044.0,0.473,0.369,1.0,0.527,-11.104,1.0,0.15,80.972,3.0,0.654
36,36,letter 2 my momma,21 Savage,55xNjVrGJxgqcEFqCyejTM,53.0,0.0531,0.864,194810.0,0.608,1.2e-05,1.0,0.078,-10.567,0.0,0.275,80.225,4.0,0.963
37,37,Mad Stalkers,21 Savage,6HR1z11h0ROUlWP4Kx8Z7G,61.0,0.147,0.9,202667.0,0.365,0.185,10.0,0.179,-6.395,0.0,0.236,135.004,4.0,0.136
38,38,Many Men,21 Savage,3CDVMejYHnB1SkEEx0T1N4,70.0,0.000647,0.635,201856.0,0.793,0.747,10.0,0.113,-4.333,0.0,0.0322,77.594,4.0,0.281
39,39,monster,21 Savage,2FUNBaa5DwItJtYEBgAblU,59.0,0.158,0.89,233040.0,0.607,0.000228,9.0,0.118,-6.916,0.0,0.124,134.022,4.0,0.224
40,40,Mr. Right Now (feat. Drake),21 Savage,4Q34FP1AT7GEl9oLgNtiWj,73.0,0.231,0.647,193839.0,0.667,0.0,5.0,0.133,-5.563,1.0,0.304,172.08,4.0,0.704
41,41,My Choppa Hate Niggas,21 Savage,2D2w9943rsnJOGCrI4aMQp,70.0,0.0974,0.862,148640.0,0.274,0.185,0.0,0.183,-5.818,0.0,0.416,77.492,4.0,0.154
42,42,My Dawg,21 Savage,42Tohunwlh34o0mgxYx5iq,61.0,0.0652,0.831,181716.0,0.532,0.0,0.0,0.464,-5.319,0.0,0.301,140.105,4.0,0.364
43,43,No Heart,21 Savage,4gmmRb6bZJffOOiww1JGTO,74.0,0.136,0.906,235040.0,0.444,6.44e-05,4.0,0.173,-8.692,0.0,0.384,140.063,4.0,0.678
44,44,No Opp Left Behind,21 Savage,50I7FNN2rl2rWiNwGxS146,63.0,0.0161,0.823,194214.0,0.703,1.35e-06,8.0,0.294,-2.691,1.0,0.298,178.043,4.0,0.26
45,45,Numb,21 Savage,0G149jkGWKwrPXUGkEDgWM,58.0,0.0438,0.839,271307.0,0.436,2.7e-06,5.0,0.131,-11.344,0.0,0.285,82.009,4.0,0.464
46,46,out for the night,21 Savage,4B8vU5oDXVxO5OkLAI4aLx,62.0,0.0133,0.593,235232.0,0.632,0.0,6.0,0.64,-5.381,0.0,0.541,173.369,4.0,0.0789
47,47,pad lock,21 Savage,5stbfxsPi8gcOH2LCuA4Le,69.0,0.0187,0.959,191360.0,0.55,0.0,5.0,0.112,-8.012,0.0,0.197,130.024,4.0,0.798
48,48,Rap Saved Me,21 Savage,0tdCy39PgWN8LFWu34ORn3,67.0,0.00525,0.845,257600.0,0.399,0.741,1.0,0.102,-7.509,1.0,0.312,143.049,4.0,0.148
49,49,Rich Nigga Shit (feat. Young Thug),21 Savage,3ruoIF2UnoXdzK8mR61ebq,82.0,0.349,0.825,190331.0,0.733,0.0,1.0,0.112,-5.625,0.0,0.0969,97.974,4.0,0.62
50,50,RIP Luv,21 Savage,1wGnp7ejkCuXRsehXx0PNP,70.0,0.105,0.63,214192.0,0.399,0.174,5.0,0.234,-9.869,0.0,0.178,183.016,3.0,0.0657
