,Track Name,Artist,Track ID,Popularity
1432,"Tied Up (feat. Mr Eazi, RAYE and Jake Gosling)",Major Lazer,1qFSPn37zEeCyRiVpkW9dt,65.0
1433,Titans (feat. Sia & Labrinth),Major Lazer,1PQaukn6h0XlPfqTfPGuDk,6.0
1434,Trigger,Major Lazer,0Z26mbSHJ1dkUu7g9DDgif,53.0
1435,Disco Arranhado - Funk Remix,Malu,3SI736Mng30L5ZTpGEhKEr,63.0
1436,11:00 PM,Maluma,7KbF6AdprOXEEHlsq11Z6d,75.0
1437,ADMV,Maluma,3eJMSq78dDaFb7VvhNFnq6,68.0
1438,Agua de Jamaica,Maluma,41BzKiCrKpUQHS3TP0jmdr,58.0
1439,Aloha,Maluma,5RAIMjdrCEjpjaR5tBATXU,68.0
1440,Borro Cassette,Maluma,6DUdDIRgLqCGq1DwkNWQTN,79.0
1441,Corazón,Maluma,5cepAtqnEQ6yVG6088zMMu,71.0
1442,Corazón (feat. Nego do Borel),Maluma,5cepAtqnEQ6yVG6088zMMu,71.0
1443,"Cuatro Babys (feat. Trap Capos, Noriel, Bryant Myers & Juhn)",Maluma,0JoHqmlqE0W0i9prt6kcHR,75.0
1444,El Préstamo,Maluma,2XVilv6s9GETnw9PG4T9Mz,63.0
1445,Felices los 4,Maluma,1RouRzlg8OKFeqc6LvdxmB,74.0
1446,GPS (feat. French Montana),Maluma,3t6j6WNv2OSn6qm5Vxynub,62.0
1447,Hawái,Maluma,1yoMvmasuxZfqHEipJhRbp,78.0
1448,Hawái - Remix,Maluma,0GzuHFG4Ql6DoyxFRnIk3F,67.0
1449,HP,Maluma,1LIqNVhaIgxXUt2eVoIQJ3,71.0
1450,Madrid (feat. Myke Towers),Maluma,19OXtYzrJyCrQvTbfukt4H,68.0
1451,Mala Mía,Maluma,62o8KoI44JfN7aYxgTnPvh,66.0
1452,Marinero,Maluma,6x5LBP3nYXVdIDoomChGr3,60.0
1453,Parce (feat. Justin Quiles),Maluma,4RJz8NfIe09gpKMiRUWKhJ,69.0
