,Track Name,Artist,Track ID,Popularity
0,"Merry Christmas, Happy Holidays",*NSYNC,4v9WbaxW8HdjqfUiWYWsII,81.0
1,Bande organisée,13 Organisé,2JNJSm3CjesTWLOcJm4Kiz,59.0
2,Extasy,187 Strassenbande,79lc69ZXfL4WmJIzVSDmWT,60.0
3,High Life,187 Strassenbande,0Vy7fWzknPBpNTwJkGc7Sm,50.0
4,Millionär,187 Strassenbande,6mw02h3qbWmuq2bJCRjRAe,63.0
5,Mit den Jungz,187 Strassenbande,3aDYo34VzVf2i8aJyJk0ca,62.0
6,Vielen Dank,187 Strassenbande,4xN9cgMVhYyhnugUFZdhcZ,56.0
7,4:00 AM,2 Chainz,1nX9KhK3Fff27SnrIor2Yb,63.0
8,Bigger Than You (feat. Drake & Quavo),2 Chainz,5S1IUPueD0xE0vj4zU3nSf,54.0
9,Good Drank,2 Chainz,39pS70eeDvyCAF3t8NAlVV,57.0
10,It's A Vibe,2 Chainz,6H0AwSQ20mo62jGlPGB8S6,68.0
11,Momma I Hit A Lick (feat. Kendrick Lamar),2 Chainz,7jKUnzzOGhAlPjr7LkIUlE,48.0
12,Rule The World (feat. Ariana Grande),2 Chainz,1R6VwZ8TuHRzxZUxe88n4I,52.0
13,Whip (feat. Travis Scott),2 Chainz,6Z4rmc0uujCpl8yXe3yjgI,42.0
14,1.5,21 Savage,2wOXxtHZgRkkrkEbKLzzqs,61.0
15,4L,21 Savage,1uULQtJ8rbsX5TwjPpPc9Q,61.0
16,a lot,21 Savage,2t8yVaLvJ0RenpXUIAC52d,82.0
17,a&t,21 Savage,6ho88pvz4c8WCSFbdVXNia,54.0
18,all my friends,21 Savage,4paAidoE8VAemwU4jgCc6l,60.0
19,asmr,21 Savage,2QgfDF0fQ4sskDthP8MG5w,62.0
20,Bad Business,21 Savage,2MnJoNVtf0pw7HUn3I1Tih,51.0
21,ball w/o you,21 Savage,50a8bKqlwDEqeiEknrzkTO,83.0
22,Bank Account,21 Savage,5eqK0tbzUPo2SoeZsov04s,78.0
23,Brand New Draco,21 Savage,4V9ynsDPwHtdItksqjuRu0,65.0
24,break da law,21 Savage,5ZSIExfQuVv69tw5Qw3yDl,58.0
25,can't leave without it,21 Savage,0hPLZrnDgtKxrym1BHjDhd,75.0
26,Close My Eyes,21 Savage,28mrq1UKIVItTbPqyub52b,49.0
27,Darth Vader,21 Savage,7vg47qMIEdLfNdTE3WLf0T,56.0
28,Disrespectful,21 Savage,3oxCefEI6Tc6Z6t20J4IvH,61.0
29,Famous,21 Savage,19HA9J80qZfIkAnp2g8N2S,50.0
30,Ghostface Killers,21 Savage,5u6vkDnOyaf8LsteDAj2ub,72.0
31,Glock In My Lap,21 Savage,6pcywuOeGGWeOQzdUyti6k,85.0
32,good day,21 Savage,2LqoYvMudv9xoTqNLFKILj,49.0
33,gun smoke,21 Savage,4f1XXGjZZ9EkFkrbPJek6X,57.0
34,Immortal,21 Savage,4IO8X9W69dIQe0EC5ALXhq,73.0
35,Intro,21 Savage,5UpXJ75CXod4PCoBQP6MAP,53.0
36,letter 2 my momma,21 Savage,55xNjVrGJxgqcEFqCyejTM,53.0
37,Mad Stalkers,21 Savage,6HR1z11h0ROUlWP4Kx8Z7G,61.0
38,Many Men,21 Savage,3CDVMejYHnB1SkEEx0T1N4,70.0
39,monster,21 Savage,2FUNBaa5DwItJtYEBgAblU,59.0
40,Mr. Right Now (feat. Drake),21 Savage,4Q34FP1AT7GEl9oLgNtiWj,73.0
41,My Choppa Hate Niggas,21 Savage,2D2w9943rsnJOGCrI4aMQp,70.0
42,My Dawg,21 Savage,42Tohunwlh34o0mgxYx5iq,61.0
43,No Heart,21 Savage,4gmmRb6bZJffOOiww1JGTO,74.0
44,No Opp Left Behind,21 Savage,50I7FNN2rl2rWiNwGxS146,63.0
45,Numb,21 Savage,0G149jkGWKwrPXUGkEDgWM,58.0
46,out for the night,21 Savage,4B8vU5oDXVxO5OkLAI4aLx,62.0
47,pad lock,21 Savage,5stbfxsPi8gcOH2LCuA4Le,69.0
48,Rap Saved Me,21 Savage,0tdCy39PgWN8LFWu34ORn3,67.0
49,Rich Nigga Shit (feat. Young Thug),21 Savage,3ruoIF2UnoXdzK8mR61ebq,82.0
50,RIP Luv,21 Savage,1wGnp7ejkCuXRsehXx0PNP,70.0
51,Run Up the Racks,21 Savage,7vbjH8laThXpcBXeLNPm3M,55.0
52,Runnin,21 Savage,5SWnsxjhdcEDc7LJjq9UHk,82.0
53,Said N Done,21 Savage,11XegnWeJHBDtj9IsNwngu,63.0
54,Secret (feat. Summer Walker),21 Savage,67lKDoCZbRCJDa4RT68eme,55.0
55,Slidin,21 Savage,7fxSLnklnayJNBIKntXedZ,70.0
56,Snitches & Rats (feat. Young Nudy),21 Savage,3WaDoMDQRqDdgtCDLxanpN,61.0
57,Snitches & Rats (Interlude),21 Savage,2y3mrzWEWaAFqb2jf5fED8,55.0
58,Steppin On Niggas,21 Savage,7FtZFla3ZH6PqsAJ9MvVCM,59.0
59,Still Serving,21 Savage,6m6Oy3F6GG0zRwH03rWmTv,58.0
60,X (feat. Future),21 Savage,6fwdbPMwP1zVStm8FybmkO,73.0
61,The Race,22 Savage,7d19457woBxmPRCq255YqM,69.0
62,CITY OF ANGELS,24kGoldn,6ap9lSRJ0iLriGLqoJ44cq,70.0
63,Mood (feat. iann dior),24kGoldn,4jPy3l0RUwlUI9T5XHBW2m,81.0
64,"Mood (Remix) feat. Justin Bieber, J Balvin & iann dior",24kGoldn,6FuGJB290AQMAHTfjOYVaK,65.0
65,VALENTINO,24kGoldn,6piAUJJQFD8oHDUr0b7l7q,71.0
66,Keep Ya Head Up,2Pac,0XRbYXQUymj9SJkrr8YK5B,70.0
67,Dancing in My Room,347aidan,6Pgmqg15yVexuOgtzuxwoX,70.0
68,Easier,5 Seconds of Summer,2bjUEg4jBtKBlPdNrTAppI,68.0
69,If Walls Could Talk,5 Seconds of Summer,0nCVLAhIUrLQ34Vw5vTXNP,58.0
70,Lie To Me,5 Seconds of Summer,3567eNX2L3RkkMkwspncMH,66.0
71,Lie To Me (feat. Julia Michaels),5 Seconds of Summer,6GzApXoBQiiAjak3tOQfV3,63.0
72,Moving Along,5 Seconds of Summer,4UQajPk0EPvbwWTl0fYi4C,53.0
73,No Shame,5 Seconds of Summer,5EbidH3lGB30WuDsoR4km6,58.0
74,Old Me,5 Seconds of Summer,58qO4dGa5SgNdtvqvpewyz,61.0
75,Red Desert,5 Seconds of Summer,288li8gcr0oOAHDwAERZHS,56.0
76,Talk Fast,5 Seconds of Summer,1pMrGc8rMC5qx0zMak8tkd,55.0
77,Teeth,5 Seconds of Summer,3NxWJWftvkstyxvb1pZlFo,76.0
78,Valentine,5 Seconds of Summer,19hh7DkfRBrpRGYfKlw7jb,58.0
79,Want You Back,5 Seconds of Summer,2vHfabj6nFebekTYODqntl,63.0
80,Wildflower,5 Seconds of Summer,6qlcjGJPTZEwR8nf2nSe9C,57.0
81,Youngblood,5 Seconds of Summer,2iUXsYOEPhVqEBwsqP70rE,82.0
82,BEBE,6ix9ine,4jCodMLVA5tV5MhPrspTfV,69.0
83,BILLY,6ix9ine,5GyEbpUAN4ErmlPOxKgODR,66.0
84,DUMMY,6ix9ine,5XJ3VZJ5sY6eueofr2QyF0,43.0
85,FEEFA,6ix9ine,1mGTsecpndMqBCMYypROXl,52.0
86,FEFE,6ix9ine,43VXG87ajppI8mO1Mxo8vu,69.0
87,FEFE (feat. Nicki Minaj & Murda Beatz),6ix9ine,43VXG87ajppI8mO1Mxo8vu,69.0
88,GOOBA,6ix9ine,2zvDnNLW4yZ4a0YcGiOEBX,68.0
89,GOTTI,6ix9ine,6FPxVmp66GVKkVvfiBWly4,63.0
90,GUMMO,6ix9ine,2HBtd9MYDd2xDVu8Zc6pwt,62.0
91,KANGA,6ix9ine,0FWuoZiZygtNkeJqF9tXZC,47.0
92,KEKE,6ix9ine,7ELPiYjcp2DjvbrKdqcAx1,61.0
93,KIKA,6ix9ine,2gGyUF86bijvQyjcOcJxNw,62.0
94,KOODA,6ix9ine,40LaNujg5lvImKt0N4xDge,58.0
95,LOCKED UP PT. 2,6ix9ine,0wHN9xMRbnlcdJNziRE5dm,48.0
96,MALA,6ix9ine,5tYCl2bT9bDjMuTyn6OVb0,74.0
97,MAMA,6ix9ine,5SOYmkRawOJrpufdWsAfo8,55.0
98,PUNANI,6ix9ine,4OsSMiSSdUkjGnD41M0Y9u,52.0
99,RONDO,6ix9ine,5e4AYaVnzJnR5H7tVbox9S,48.0
100,STOOPID,6ix9ine,52OczisW5YSWIAJiygxs1M,55.0
101,TATI,6ix9ine,0CFJoopJPNMEC7Itmp64Yb,57.0
102,TIC TOC,6ix9ine,0uEkcxPKj9JE0nxlwJWYlE,51.0
103,TROLLZ (with Nicki Minaj),6ix9ine,3xIzkKqp7oe37NEVrcPjGS,61.0
104,TUTU,6ix9ine,6JgHGy8qBDy4b4v0TR6zAI,48.0
105,WAKA,6ix9ine,4uax9U22ZAdqUxTMF1beUf,58.0
106,WONDO,6ix9ine,1HWbcIzvzEgy6nLrxIK3et,41.0
107,YAYA,6ix9ine,6EfBMJQwe2xLgldra6DaYp,54.0
108,Balenciaga Challenge (feat. Offset),6LACK,6Zisja44KqMZj4GM4UY6Yv,49.0
109,East Atlanta Love Letter (feat. Future),6LACK,6rJmWa5DvQ3Nby3tdcX2L0,54.0
110,Ex Calling,6LACK,1MQ8ydvrTnn2QJgXFATJvD,63.0
111,Know My Rights (feat. Lil Baby),6LACK,7fsNNSLGG8Wi0nFbufCU6L,60.0
112,Loaded Gun,6LACK,1wb7Mqon4o1ViLjaLV9f8U,51.0
113,Pretty Little Fears (feat. J. Cole),6LACK,4at3d5QWnlibMVN75ECDrp,74.0
114,Unfair,6LACK,3Q33RhbyoFul9LdKKjticI,51.0
115,Bleed,A Boogie Wit da Hoodie,5XzombolzpiaOSTdj1W0VS,57.0
116,Demons and Angels (feat. Juice WRLD),A Boogie Wit da Hoodie,3L19besdNQzd342qL78xqm,68.0
117,Drowning (feat. Kodak Black),A Boogie Wit da Hoodie,1f5cbQtDrykjarZVrShaDI,79.0
118,Flood My Wrist (feat. Lil Uzi Vert),A Boogie Wit da Hoodie,5Tj4faD9lGyMw8ZatUYR6G,48.0
119,King Of My City,A Boogie Wit da Hoodie,3o0nkjyy6eZL5lZcEpvJec,51.0
120,Look Back at It,A Boogie Wit da Hoodie,3Ol2xnObFdKV9pmRD2t9x8,78.0
121,Me and My Guitar,A Boogie Wit da Hoodie,6cZH4rX1KTt1aJ3Ql6Ynja,71.0
122,Might Not Give Up (feat. Young Thug),A Boogie Wit da Hoodie,4l2rsMfr20dj6nf6i6F3Y8,49.0
123,Mood Swings,A Boogie Wit da Hoodie,0VZe8C7xgAIQC0E0qEVIEh,57.0
