Genre,Master Genre
"['canadian pop', 'canadian contemporary r&b', 'pop']",Pop
"['pop', 'pop dance', 'tropical house', 'edm', 'electropop', 'dance pop']",Pop
"['pop', 'electronic trap', 'dance pop', 'edm', 'pop dance', 'pop rap']",Pop
"['pop', 'uk dance', 'dance pop', 'uk funky', 'tropical house', 'pop dance', 'post-teen pop', 'edm']",Pop
"['toronto rap', 'canadian pop', 'canadian hip hop', 'rap', 'pop rap', 'hip hop']",Hip-Hop
"['pop', 'post-teen pop', 'dance pop']",Pop
"['pop', 'pop rock']",Pop
"['rap', 'mississippi hip hop', 'melodic rap', 'trap', 'pop rap', 'southern hip hop', 'hip hop']",Rap
"['colombian pop', 'dance pop', 'latin pop', 'pop', 'latin']",Pop
"['pop', 'post-teen pop', 'uk pop', 'dance pop']",Pop
"['pop', 'uk pop', 'talent show', 'post-teen pop']",Pop
"['rap', 'atl hip hop', 'trap', 'pop rap']",Rap
"['moombahton', 'pop', 'edm', 'dance pop', 'pop dance', 'pop rap', 'electro house']",Pop
"['dutch edm', 'pop dance', 'edm', 'tropical house', 'pop', 'progressive house', 'dance pop']",EDM
"['aussietronica', 'tropical house', 'pop dance']",Pop
"['dance pop', 'pop']",Pop
"['pop', 'canadian pop', 'viral pop', 'post-teen pop', 'dance pop']",Pop
"['edm', 'pop dance', 'electro house', 'tropical house', 'dance pop', 'pop']",Pop
"['uk dance', 'pop', 'dance pop', 'edm', 'house', 'progressive house', 'pop dance', 'electro house']",Pop
"['ohio hip hop', 'pop rap']",Rap
"['modern rock', 'rock']",Rock
"['pop', 'australian dance', 'australian pop', 'dance pop']",Pop
"['boy band', 'latin pop', 'reggaeton', 'latin']",Pop
"['virginia hip hop', 'alternative r&b', 'underground hip hop', 'trap', 'pop rap', 'rap']",Hip-Hop
"['pop rap', 'dance pop', 'pop']",Pop
"['reggaeton colombiano', 'reggaeton', 'trap latino', 'latin']",Latin
"['pop', 'post-teen pop', 'dance pop', 'girl group', 'talent show']",Pop
"['pop', 'post-teen pop', 'canadian pop', 'canadian contemporary r&b', 'dance pop', 'electropop']",Pop
"['latin pop', 'puerto rican pop', 'mexican pop', 'latin', 'dance pop']",Pop
"['pop', 'post-teen pop', 'boy band', 'dance pop']",Pop
"['tropical house', 'uk dance', 'pop dance', 'pop', 'dance pop', 'edm']",Pop
"['pop', 'viral pop', 'post-teen pop', 'dance pop']",Pop
"['portland hip hop', 'rap', 'pop rap', 'hip hop', 'underground hip hop']",Hip-Hop
"['pop rap', 'hyphy', 'dance pop', 'southern hip hop', 'trap', 'rap']",Pop
"['pop soul', 'neo soul', 'pop', 'r&b', 'urban contemporary']",R&B & Soul
['eurodance'],Regional
"['pop dance', 'electro house']",Pop
"['barbadian pop', 'pop', 'dance pop', 'post-teen pop', 'urban contemporary']",Pop
"['latin hip hop', 'reggaeton', 'latin', 'trap latino', 'reggaeton flow']",Hip-Hop
"['pop', 'scandipop', 'dance pop', 'swedish electropop', 'post-teen pop', 'tropical house', 'swedish pop', 'pop dance', 'electropop', 'edm']",Pop
"['pop nacional', 'slap house', 'electro house']",Pop
"['german dance', 'tropical house', 'deep euro house', 'pop dance', 'deep house', 'edm', 'pop', 'dance pop']",Pop
"['rap', 'pop rap', 'detroit hip hop', 'trap', 'southern hip hop', 'hip hop']",Rap
"['canadian pop', 'post-teen pop', 'pop']",Pop
"['pop', 'post-teen pop', 'dance pop', 'pop rock']",Pop
"['colombian pop', 'champeta', 'latin', 'vallenato', 'latin pop', 'tropical']",Pop
